Iteração,Equação Minimizar
354,1.5646509326103808
355,1.557666322677507
356,1.550717709475421
357,1.5438049069475028
358,1.536927730002021
359,1.5300859945121137
360,1.523279517289284
361,1.5165081161019576
362,1.5097716096590417
363,1.503069817610736
364,1.4964025605321907
365,1.489769659937845
366,1.4831709382607414
367,1.4766062188502957
368,1.4700753259746502
369,1.4635780848077657
370,1.4571143214273823
371,1.4506838628129233
372,1.4442865368440354
373,1.4379221722818867
374,1.4315905987824418
375,1.4252916468738017
376,1.4190251479648182
377,1.4127909343468181
378,1.4065888391589985
379,1.4004186964218028
380,1.3942803410042979
381,1.38817360862964
382,1.382098335878324
383,1.376041222065333
384,1.3700293470001224
385,1.3640461029678097
386,1.3580965965154463
387,1.3521747783780316
388,1.3462864226507316
389,1.340425439985033
390,1.3345976047015948
391,1.3287968303876796
392,1.3230288916761996
393,1.3172877050555556
394,1.3115790454813563
395,1.3058968323118039
396,1.3002468408128003
397,1.2946229931876139
398,1.2890310650037298
399,1.2834649812939258
400,1.2779305179087237
401,1.2724216026878188
402,1.2669440117633548
403,1.2614916757567924
404,1.2560703710642003
405,1.2506740310698234
406,1.2453084324356423
407,1.2399675112760375
408,1.2346570445100744
409,1.2293709709685012
410,1.2241150678024724
411,1.2188832765462934
412,1.2136813745827268
413,1.208503306116827
414,1.2033548487598662
415,1.198229949363877
416,1.193134385756949
417,1.1880621074258597
418,1.1830188924031115
419,1.1779986927846438
420,1.1730072868003618
421,1.1680386291385023
422,1.1630984982206907
423,1.1581808512950347
424,1.153291466973686
425,1.1484243050500271
426,1.1435740290035246
427,1.1387579294970178
428,1.1339670478481088
429,1.1292008276489076
430,1.1244591404785442
431,1.1197418595960897
432,1.1150488589027228
433,1.110380012966694
434,1.1057351969903364
435,1.1011142868369588
436,1.0965171590055962
437,1.0919436906312523
438,1.0873937594870777
439,1.0828672439757285
440,1.0783640231301261
441,1.073883976612554
442,1.069426984703767
443,1.0649929283061035
444,1.0605816889352804
445,1.0561931487161893
446,1.051827190396098
447,1.047483697318516
448,1.04316255342847
449,1.0388636432779808
450,1.0345868520126695
451,1.030332065371734
452,1.0260991696870425
453,1.0218880518785327
454,1.0176985994494783
455,1.013530700487246
456,1.0093842436538027
457,1.0052591181891786
458,1.0011552139099282
459,0.9970724211946713
460,0.9930106309939657
461,0.9889697348238468
462,0.9849496247583953
463,0.980950193425874
464,0.9769713340212448
465,0.9730129402764894
466,0.9690749064881536
467,0.9651571274931463
468,0.9612594986687728
469,0.9573819159353072
470,0.9535242757556269
471,0.9496864751202492
472,0.9458684115620789
473,0.9420699831357506
474,0.9382910884264228
475,0.9345316265424225
476,0.9307914971145217
477,0.9270706002917025
478,0.923368836744455
479,0.9196861076486115
480,0.9160223146934715
481,0.9123773600823577
482,0.9087511465171743
483,0.9051435772062967
484,0.9015545558606456
485,0.8979839866796991
486,0.8944317743695727
487,0.8908978241255642
488,0.8873820416313147
489,0.8838843330559775
490,0.8804046050595414
491,0.8769427647833189
492,0.8734987198437911
493,0.8700723783399525
494,0.8666636488474155
495,0.8632724404073493
496,0.8598986625380682
497,0.8565422252219264
498,0.8532030389100945
499,0.8498810145125606
500,0.8465760634032157
501,0.8432880974130504
502,0.8400170288247122
503,0.8367627703836051
504,0.833525235279508
505,0.8303043371522001
506,0.8270999900884354
507,0.8239121086193841
508,0.8207406077160251
509,0.817585402792369
510,0.8144464096973905
511,0.8113235447159286
512,0.808216724566848
513,0.8051258663955139
514,0.8020508877800405
515,0.7989917067221834
516,0.795948241647571
517,0.792920411406667
518,0.7899081352646268
519,0.7869113329076507
520,0.7839299244339127
521,0.7809638303592735
522,0.7780129716054921
523,0.7750772695076465
524,0.7721566458031607
525,0.7692510226370588
526,0.766360322555769
527,0.7634844685081886
528,0.760623383835638
529,0.7577769922847268
530,0.7549452179863008
531,0.7521279854726146
