Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
161,0,0.5,4.172412129232172,5500.0,5794.618264193124,11032871.424472842,3.1276931762695312
162,0,0.5,1.2537908888667249,5500.0,5790.51896210198,11050734.778988242,3.177529811859131
163,0,0.5,4.171965589971563,5500.0,5786.507986145964,11046740.410257606,3.2310166358947754
164,0,0.5,1.2537559800463491,5500.0,5782.581773874966,11064265.301125502,3.279412269592285
165,0,0.5,4.173513916230789,5500.0,5778.738704798484,11060449.97961827,3.3290486335754395
166,0,0.5,1.2537099356281707,5500.0,5774.976077811879,11077651.272328263,3.3787143230438232
167,0,0.5,4.172635178804951,5500.0,5771.291843364069,11074006.165862508,3.430739402770996
168,0,0.5,1.2538434675985732,5500.0,5767.685842237192,11090886.235483391,3.4822821617126465
169,0,0.5,4.171720768521349,5500.0,5764.155199452374,11087406.085491743,3.5320487022399902
170,0,0.5,1.2539746635750546,5500.0,5760.698001384367,11103974.29971244,3.581289768218994
171,0,0.5,4.1710512439733085,5500.0,5757.313025557413,11100654.093116472,3.630852222442627
172,0,0.5,1.2541018968388171,5500.0,5753.997205848778,11116918.388827803,3.6823582649230957
173,0,0.5,4.17034049512414,5500.0,5750.750548322347,11113740.945685256,3.734255790710449
174,0,0.5,1.2541119012255015,5500.0,5747.570244558029,11129709.222818112,3.7853760719299316
175,0,0.5,4.1722938305633,5500.0,5744.454764034577,11126685.17500519,3.8333165645599365
176,0,0.5,1.25391071048135,5500.0,5741.402652365253,11142365.665579889,3.883516311645508
177,0,0.5,4.172509932506118,5500.0,5738.4108048143635,11139480.047893643,3.9363839626312256
178,0,0.5,1.254084947680037,5500.0,5735.480269882184,11154878.842815123,3.9863288402557373
179,0,0.5,4.172580082093776,5500.0,5732.60881115139,11152130.333178489,4.037628412246704
180,0,0.5,1.254123841092038,5500.0,5729.794840438733,11167255.141759858,4.0885539054870605
181,0,0.5,4.172543589253564,5500.0,5727.036847261448,11164629.376407122,4.141688108444214
182,0,0.5,1.2537294811510473,5500.0,5724.334550167539,11179479.518708184,4.191715955734253
183,0,0.5,4.1815816500093685,5500.0,5721.685196783943,11176985.921642374,4.242524862289429
184,0,0.5,1.2526391849152445,5500.0,5719.0855707374,11191579.481320955,4.292374849319458
185,0,0.5,4.192597870696453,5500.0,5716.535667581473,11189230.442438234,4.343271732330322
186,0,0.5,1.2522490241529516,5500.0,5714.029855902984,11203566.495612893,4.391529560089111
187,0,0.5,4.201055706963336,5500.0,5711.578118412803,11201341.291540869,4.4402666091918945
188,0,0.5,1.2531332101004162,5500.0,5709.166708555997,11215461.699314425,4.497649669647217
189,0,0.5,4.189955638723756,5500.0,5706.8043288747285,11213310.934655795,4.549696445465088
190,0,0.5,1.2520662951872636,5500.0,5704.491790079726,11227178.614415538,4.601053237915039
191,0,0.5,4.164658182246424,5500.0,5702.218210337723,11225089.5944833,4.650789499282837
192,0,0.5,1.255959661271106,5500.0,5700.010400681312,11238667.112650154,4.69999361038208
193,0,0.5,4.1552843124330066,5500.0,5697.84515988818,11236715.39551216,4.750529527664185
194,0,0.5,1.256201374986407,5500.0,5695.715153670701,11250062.25974934,4.803344249725342
195,0,0.5,4.154783232210705,5500.0,5693.631165071918,11248175.765708402,4.854439735412598
196,0,0.5,1.2553985637200475,5500.0,5691.586833538462,11261295.145255186,4.90191388130188
197,0,0.5,4.166418417101618,5500.0,5689.579416961536,11259522.731006289,4.955847263336182
198,0,0.5,1.2551176563751927,5500.0,5687.605502606011,11272430.317608114,5.00835394859314
199,0,0.5,4.16427085100871,5500.0,5685.670240916843,11270737.101895154,5.0617406368255615
200,0,0.5,1.255170560689907,5500.0,5683.771912678945,11283424.761133248,0.0
201,0,0.5,4.1640950601720785,5500.0,5681.909118136083,11281818.32703001,0.051160573959350586
202,0,0.5,1.2552426504424836,5500.0,5680.080502449063,11294292.082813198,0.09982919692993164
203,0,0.5,4.1641361633157254,5500.0,5678.286695180698,11292766.045461813,0.14740991592407227
204,0,0.5,1.2551478257888917,5500.0,5676.526085842623,11305028.919515489,0.19753456115722656
